enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-77346,R-HSA-556833,R-HSA-1430728,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Metabolism of lipids,Metabolism
R-HSA-77350,R-HSA-556833,R-HSA-1430728,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Metabolism of lipids,Metabolism
R-HSA-77310,R-HSA-556833,R-HSA-1430728,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Metabolism of lipids,Metabolism
R-HSA-77285,R-HSA-556833,R-HSA-1430728,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Metabolism of lipids,Metabolism
R-HSA-77348,R-HSA-556833,R-HSA-1430728,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Metabolism of lipids,Metabolism
R-HSA-77305,R-HSA-556833,R-HSA-1430728,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Metabolism of lipids,Metabolism
R-HSA-3858494,R-HSA-195721,R-HSA-162582,Beta-catenin independent WNT signaling,Signaling by WNT,Signal Transduction
R-HSA-196299,R-HSA-195721,R-HSA-162582,Beta-catenin phosphorylation cascade,Signaling by WNT,Signal Transduction
R-HSA-389887,R-HSA-556833,R-HSA-1430728,Beta-oxidation of pristanoyl-CoA,Metabolism of lipids,Metabolism
R-HSA-390247,R-HSA-556833,R-HSA-1430728,Beta-oxidation of very long chain fatty acids,Metabolism of lipids,Metabolism
R-HSA-425381,R-HSA-425407,R-HSA-382551,Bicarbonate transporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-194068,R-HSA-556833,R-HSA-1430728,Bile acid and bile salt metabolism,Metabolism of lipids,Metabolism
R-HSA-2173782,R-HSA-2173782,R-HSA-5653656,Binding and Uptake of Ligands by Scavenger Receptors,Binding and Uptake of Ligands by Scavenger Receptors,Vesicle-mediated transport
R-HSA-173107,R-HSA-5663205,R-HSA-1643685,Binding and entry of HIV virion,Infectious disease,Disease
R-HSA-4411364,R-HSA-195721,R-HSA-162582,Binding of TCF/LEF:CTNNB1 to target gene promoters,Signaling by WNT,Signal Transduction
R-HSA-141333,R-HSA-211859,R-HSA-1430728,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Biological oxidations,Metabolism
R-HSA-211859,R-HSA-211859,R-HSA-1430728,Biological oxidations,Biological oxidations,Metabolism
R-HSA-2466712,R-HSA-9675143,R-HSA-1643685,"Biosynthesis of A2E, implicated in retinal degradation",Diseases of the neuronal system,Disease
R-HSA-2466712,R-HSA-2187338,R-HSA-9709957,"Biosynthesis of A2E, implicated in retinal degradation",Visual phototransduction,Sensory Perception
R-HSA-9018676,R-HSA-556833,R-HSA-1430728,Biosynthesis of D-series resolvins,Metabolism of lipids,Metabolism
R-HSA-9018677,R-HSA-556833,R-HSA-1430728,Biosynthesis of DHA-derived SPMs,Metabolism of lipids,Metabolism
R-HSA-9026395,R-HSA-556833,R-HSA-1430728,Biosynthesis of DHA-derived sulfido conjugates,Metabolism of lipids,Metabolism
R-HSA-9018683,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPA-derived SPMs,Metabolism of lipids,Metabolism
R-HSA-9025094,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPAn-3 SPMs,Metabolism of lipids,Metabolism
R-HSA-9026403,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPAn-3-derived 13-series resolvins,Metabolism of lipids,Metabolism
R-HSA-9026290,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPAn-3-derived maresins,Metabolism of lipids,Metabolism
R-HSA-9026286,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPAn-3-derived protectins and resolvins,Metabolism of lipids,Metabolism
R-HSA-9025106,R-HSA-556833,R-HSA-1430728,Biosynthesis of DPAn-6 SPMs,Metabolism of lipids,Metabolism
R-HSA-9023661,R-HSA-556833,R-HSA-1430728,Biosynthesis of E-series 18(R)-resolvins,Metabolism of lipids,Metabolism
R-HSA-9018896,R-HSA-556833,R-HSA-1430728,Biosynthesis of E-series 18(S)-resolvins,Metabolism of lipids,Metabolism
R-HSA-9018679,R-HSA-556833,R-HSA-1430728,Biosynthesis of EPA-derived SPMs,Metabolism of lipids,Metabolism
R-HSA-9020265,R-HSA-556833,R-HSA-1430728,Biosynthesis of aspirin-triggered D-series resolvins,Metabolism of lipids,Metabolism
R-HSA-9027604,R-HSA-556833,R-HSA-1430728,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Metabolism of lipids,Metabolism
R-HSA-9026762,R-HSA-556833,R-HSA-1430728,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Metabolism of lipids,Metabolism
R-HSA-9027307,R-HSA-556833,R-HSA-1430728,Biosynthesis of maresin-like SPMs,Metabolism of lipids,Metabolism
R-HSA-9018682,R-HSA-556833,R-HSA-1430728,Biosynthesis of maresins,Metabolism of lipids,Metabolism
R-HSA-9026766,R-HSA-556833,R-HSA-1430728,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Metabolism of lipids,Metabolism
R-HSA-9018681,R-HSA-556833,R-HSA-1430728,Biosynthesis of protectins,Metabolism of lipids,Metabolism
R-HSA-9018678,R-HSA-556833,R-HSA-1430728,Biosynthesis of specialized proresolving mediators (SPMs),Metabolism of lipids,Metabolism
R-HSA-446193,R-HSA-597592,R-HSA-392499,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Post-translational protein modification,Metabolism of proteins
R-HSA-196780,R-HSA-196854,R-HSA-1430728,Biotin transport and metabolism,Metabolism of vitamins and cofactors,Metabolism
R-HSA-9636467,R-HSA-5663205,R-HSA-1643685,Blockage of phagosome acidification,Infectious disease,Disease
R-HSA-9033658,R-HSA-71387,R-HSA-1430728,Blood group systems biosynthesis,Metabolism of carbohydrates,Metabolism
R-HSA-70895,R-HSA-71291,R-HSA-1430728,Branched-chain amino acid catabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-352238,R-HSA-109581,R-HSA-5357801,Breakdown of the nuclear lamina,Apoptosis,Programmed Cell Death
R-HSA-168302,R-HSA-5663205,R-HSA-1643685,Budding,Infectious disease,Disease
R-HSA-162588,R-HSA-5663205,R-HSA-1643685,Budding and maturation of HIV virion,Infectious disease,Disease
R-HSA-450385,R-HSA-450531,R-HSA-8953854,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Regulation of mRNA stability by proteins that bind AU-rich elements,Metabolism of RNA
R-HSA-8851680,R-HSA-1280218,R-HSA-168256,Butyrophilin (BTN) family interactions,Adaptive Immune System,Immune System
R-HSA-5621481,R-HSA-168249,R-HSA-168256,C-type lectin receptors (CLRs),Innate Immune System,Immune System
R-HSA-75102,R-HSA-75072,R-HSA-8953854,C6 deamination of adenosine,mRNA Editing,Metabolism of RNA
R-HSA-5218900,R-HSA-5218859,R-HSA-5357801,CASP8 activity is inhibited,Regulated Necrosis,Programmed Cell Death
R-HSA-9662834,R-HSA-5663205,R-HSA-1643685,CD163 mediating an anti-inflammatory response,Infectious disease,Disease
R-HSA-5621575,R-HSA-168249,R-HSA-168256,CD209 (DC-SIGN) signaling,Innate Immune System,Immune System
R-HSA-5690714,R-HSA-1280218,R-HSA-168256,CD22 mediated BCR regulation,Adaptive Immune System,Immune System
R-HSA-389356,R-HSA-1280218,R-HSA-168256,CD28 co-stimulation,Adaptive Immune System,Immune System
R-HSA-389357,R-HSA-1280218,R-HSA-168256,CD28 dependent PI3K/Akt signaling,Adaptive Immune System,Immune System
R-HSA-389359,R-HSA-1280218,R-HSA-168256,CD28 dependent Vav1 pathway,Adaptive Immune System,Immune System
R-HSA-9013148,R-HSA-9716542,R-HSA-162582,CDC42 GTPase cycle,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signal Transduction
R-HSA-68689,R-HSA-69002,R-HSA-69306,CDC6 association with the ORC:origin complex,DNA Replication Pre-Initiation,DNA Replication
R-HSA-69017,R-HSA-69278,R-HSA-1640170,CDK-mediated phosphorylation and removal of Cdc6,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69017,R-HSA-69239,R-HSA-69306,CDK-mediated phosphorylation and removal of Cdc6,Synthesis of DNA,DNA Replication
R-HSA-68827,R-HSA-69002,R-HSA-69306,CDT1 association with the CDC6:ORC:origin complex,DNA Replication Pre-Initiation,DNA Replication
R-HSA-447041,R-HSA-9675108,R-HSA-1266738,CHL1 interactions,Nervous system development,Developmental Biology
R-HSA-5607763,R-HSA-168249,R-HSA-168256,CLEC7A (Dectin-1) induces NFAT activation,Innate Immune System,Immune System
R-HSA-5607764,R-HSA-168249,R-HSA-168256,CLEC7A (Dectin-1) signaling,Innate Immune System,Immune System
R-HSA-5660668,R-HSA-168249,R-HSA-168256,CLEC7A/inflammasome pathway,Innate Immune System,Immune System
R-HSA-6811434,R-HSA-199991,R-HSA-5653656,COPI-dependent Golgi-to-ER retrograde traffic,Membrane Trafficking,Vesicle-mediated transport
R-HSA-6811436,R-HSA-199991,R-HSA-5653656,COPI-independent Golgi-to-ER retrograde traffic,Membrane Trafficking,Vesicle-mediated transport
R-HSA-6807878,R-HSA-199991,R-HSA-5653656,COPI-mediated anterograde transport,Membrane Trafficking,Vesicle-mediated transport
R-HSA-6807878,R-HSA-597592,R-HSA-392499,COPI-mediated anterograde transport,Post-translational protein modification,Metabolism of proteins
R-HSA-204005,R-HSA-199991,R-HSA-5653656,COPII-mediated vesicle transport,Membrane Trafficking,Vesicle-mediated transport
R-HSA-204005,R-HSA-597592,R-HSA-392499,COPII-mediated vesicle transport,Post-translational protein modification,Metabolism of proteins
R-HSA-140180,R-HSA-211859,R-HSA-1430728,COX reactions,Biological oxidations,Metabolism
R-HSA-199920,R-HSA-9006934,R-HSA-162582,CREB phosphorylation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-1280215,R-HSA-168256,CREB phosphorylation,Cytokine Signaling in Immune system,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-199920,R-HSA-168249,R-HSA-168256,CREB phosphorylation,Innate Immune System,Immune System
R-HSA-442742,R-HSA-112315,R-HSA-112316,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Transmission across Chemical Synapses,Neuronal System
R-HSA-442720,R-HSA-112315,R-HSA-112316,CREB1 phosphorylation through the activation of Adenylate Cyclase,Transmission across Chemical Synapses,Neuronal System
R-HSA-442729,R-HSA-112315,R-HSA-112316,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Transmission across Chemical Synapses,Neuronal System
R-HSA-8874211,R-HSA-2262752,R-HSA-8953897,CREB3 factors activate genes,Cellular responses to stress,Cellular responses to stimuli
R-HSA-399956,R-HSA-9675108,R-HSA-1266738,CRMPs in Sema3A signaling,Nervous system development,Developmental Biology
R-HSA-2024101,R-HSA-71387,R-HSA-1430728,CS/DS degradation,Metabolism of carbohydrates,Metabolism
R-HSA-389513,R-HSA-1280218,R-HSA-168256,CTLA4 inhibitory signaling,Adaptive Immune System,Immune System
R-HSA-211999,R-HSA-211859,R-HSA-1430728,CYP2E1 reactions,Biological oxidations,Metabolism
R-HSA-111996,R-HSA-372790,R-HSA-162582,Ca-dependent events,Signaling by GPCR,Signal Transduction
R-HSA-1296052,R-HSA-1296071,R-HSA-112316,Ca2+ activated K+ channels,Potassium Channels,Neuronal System
R-HSA-4086398,R-HSA-195721,R-HSA-162582,Ca2+ pathway,Signaling by WNT,Signal Transduction
R-HSA-111997,R-HSA-372790,R-HSA-162582,CaM pathway,Signaling by GPCR,Signal Transduction
R-HSA-111997,R-HSA-9006925,R-HSA-162582,CaM pathway,Intracellular signaling by second messengers,Signal Transduction
R-HSA-111932,R-HSA-372790,R-HSA-162582,CaMK IV-mediated phosphorylation of CREB,Signaling by GPCR,Signal Transduction
R-HSA-111932,R-HSA-9006925,R-HSA-162582,CaMK IV-mediated phosphorylation of CREB,Intracellular signaling by second messengers,Signal Transduction
R-HSA-2025928,R-HSA-1280218,R-HSA-168256,Calcineurin activates NFAT,Adaptive Immune System,Immune System
R-HSA-419812,R-HSA-372790,R-HSA-162582,Calcitonin-like ligand receptors,Signaling by GPCR,Signal Transduction
R-HSA-111933,R-HSA-372790,R-HSA-162582,Calmodulin induced events,Signaling by GPCR,Signal Transduction
R-HSA-111933,R-HSA-9006925,R-HSA-162582,Calmodulin induced events,Intracellular signaling by second messengers,Signal Transduction
R-HSA-901042,R-HSA-597592,R-HSA-392499,Calnexin/calreticulin cycle,Post-translational protein modification,Metabolism of proteins
R-HSA-111957,R-HSA-372790,R-HSA-162582,Cam-PDE 1 activation,Signaling by GPCR,Signal Transduction
R-HSA-111957,R-HSA-9006925,R-HSA-162582,Cam-PDE 1 activation,Intracellular signaling by second messengers,Signal Transduction
R-HSA-72737,R-HSA-72766,R-HSA-392499,Cap-dependent Translation Initiation,Translation,Metabolism of proteins
R-HSA-8955332,R-HSA-597592,R-HSA-392499,Carboxyterminal post-translational modifications of tubulin,Post-translational protein modification,Metabolism of proteins
R-HSA-5576891,R-HSA-5576891,R-HSA-397014,Cardiac conduction,Cardiac conduction,Muscle contraction
R-HSA-5694530,R-HSA-199991,R-HSA-5653656,Cargo concentration in the ER,Membrane Trafficking,Vesicle-mediated transport
R-HSA-5694530,R-HSA-597592,R-HSA-392499,Cargo concentration in the ER,Post-translational protein modification,Metabolism of proteins
R-HSA-8856825,R-HSA-199991,R-HSA-5653656,Cargo recognition for clathrin-mediated endocytosis,Membrane Trafficking,Vesicle-mediated transport
R-HSA-5620920,R-HSA-5617833,R-HSA-1852241,Cargo trafficking to the periciliary membrane,Cilium Assembly,Organelle biogenesis and maintenance
R-HSA-200425,R-HSA-556833,R-HSA-1430728,Carnitine metabolism,Metabolism of lipids,Metabolism
R-HSA-71262,R-HSA-71291,R-HSA-1430728,Carnitine synthesis,Metabolism of amino acids and derivatives,Metabolism
R-HSA-140534,R-HSA-109581,R-HSA-5357801,Caspase activation via Death Receptors in the presence of ligand,Apoptosis,Programmed Cell Death
R-HSA-418889,R-HSA-109581,R-HSA-5357801,Caspase activation via Dependence Receptors in the absence of ligand,Apoptosis,Programmed Cell Death
R-HSA-5357769,R-HSA-109581,R-HSA-5357801,Caspase activation via extrinsic apoptotic signalling pathway,Apoptosis,Programmed Cell Death
R-HSA-264870,R-HSA-109581,R-HSA-5357801,Caspase-mediated cleavage of cytoskeletal proteins,Apoptosis,Programmed Cell Death
R-HSA-209905,R-HSA-71291,R-HSA-1430728,Catecholamine biosynthesis,Metabolism of amino acids and derivatives,Metabolism
R-HSA-426117,R-HSA-425407,R-HSA-382551,Cation-coupled Chloride cotransporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-174184,R-HSA-69278,R-HSA-1640170,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-1640170,R-HSA-1640170,R-HSA-1640170,Cell Cycle,Cell Cycle,Cell Cycle
R-HSA-69620,R-HSA-69620,R-HSA-1640170,Cell Cycle Checkpoints,Cell Cycle Checkpoints,Cell Cycle
R-HSA-69278,R-HSA-69278,R-HSA-1640170,"Cell Cycle, Mitotic","Cell Cycle, Mitotic",Cell Cycle
R-HSA-204998,R-HSA-73887,R-HSA-162582,"Cell death signalling via NRAGE, NRIF and NADE",Death Receptor Signalling,Signal Transduction
R-HSA-446728,R-HSA-446728,R-HSA-1500931,Cell junction organization,Cell junction organization,Cell-Cell communication
R-HSA-9664424,R-HSA-5663205,R-HSA-1643685,Cell recruitment (pro-inflammatory response),Infectious disease,Disease
R-HSA-1222541,R-HSA-5663205,R-HSA-1643685,Cell redox homeostasis,Infectious disease,Disease
R-HSA-202733,R-HSA-202733,R-HSA-109582,Cell surface interactions at the vascular wall,Cell surface interactions at the vascular wall,Hemostasis
R-HSA-1500931,R-HSA-1500931,R-HSA-1500931,Cell-Cell communication,Cell-Cell communication,Cell-Cell communication
R-HSA-421270,R-HSA-446728,R-HSA-1500931,Cell-cell junction organization,Cell junction organization,Cell-Cell communication
R-HSA-446353,R-HSA-446728,R-HSA-1500931,Cell-extracellular matrix interactions,Cell junction organization,Cell-Cell communication
R-HSA-2559583,R-HSA-2262752,R-HSA-8953897,Cellular Senescence,Cellular responses to stress,Cellular responses to stimuli
R-HSA-189200,R-HSA-425407,R-HSA-382551,Cellular hexose transport,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-9711123,R-HSA-2262752,R-HSA-8953897,Cellular response to chemical stress,Cellular responses to stress,Cellular responses to stimuli
R-HSA-3371556,R-HSA-2262752,R-HSA-8953897,Cellular response to heat stress,Cellular responses to stress,Cellular responses to stimuli
R-HSA-1234174,R-HSA-2262752,R-HSA-8953897,Cellular response to hypoxia,Cellular responses to stress,Cellular responses to stimuli
R-HSA-9711097,R-HSA-2262752,R-HSA-8953897,Cellular response to starvation,Cellular responses to stress,Cellular responses to stimuli
R-HSA-8953897,R-HSA-8953897,R-HSA-8953897,Cellular responses to stimuli,Cellular responses to stimuli,Cellular responses to stimuli
R-HSA-2262752,R-HSA-2262752,R-HSA-8953897,Cellular responses to stress,Cellular responses to stress,Cellular responses to stimuli
R-HSA-380287,R-HSA-69278,R-HSA-1640170,Centrosome maturation,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-193681,R-HSA-73887,R-HSA-162582,Ceramide signalling,Death Receptor Signalling,Signal Transduction
R-HSA-163765,R-HSA-163685,R-HSA-1430728,ChREBP activates metabolic gene expression,Integration of energy metabolism,Metabolism
R-HSA-9613829,R-HSA-9613829,R-HSA-9612973,Chaperone Mediated Autophagy,Chaperone Mediated Autophagy,Autophagy
R-HSA-390466,R-HSA-391251,R-HSA-392499,Chaperonin-mediated protein folding,Protein folding,Metabolism of proteins
R-HSA-380108,R-HSA-372790,R-HSA-162582,Chemokine receptors bind chemokines,Signaling by GPCR,Signal Transduction
R-HSA-75035,R-HSA-69620,R-HSA-1640170,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,Cell Cycle Checkpoints,Cell Cycle
R-HSA-191273,R-HSA-556833,R-HSA-1430728,Cholesterol biosynthesis,Metabolism of lipids,Metabolism
R-HSA-6807047,R-HSA-556833,R-HSA-1430728,Cholesterol biosynthesis via desmosterol,Metabolism of lipids,Metabolism
R-HSA-6807062,R-HSA-556833,R-HSA-1430728,Cholesterol biosynthesis via lathosterol,Metabolism of lipids,Metabolism
R-HSA-6798163,R-HSA-71291,R-HSA-1430728,Choline catabolism,Metabolism of amino acids and derivatives,Metabolism
